Pays;Type;Metal;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Mongolie;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1387400;1379000;3203200;5678300;7561400;6011200;10260500;6173400;4936200;7694700;6225400
Maroc;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22878;30523;44665;78926;260700;301100;22910;17860;21033;15000;15000
Namibie;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4000;8478;2450;13035
Nepal;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;772;396
Nouvelle-Zélande;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020227;2092640;2438641;2357440;2394848;3156619;3245369;3193722;3495818;4008000;4000000
Nigeria;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62000;99424;63000;70000;70000;50000;50000;50000;50000;50000;50000
Norvège;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2048591;4768034;6742333;6723426;7744487;9549232;10542149;3519116;1757851;1622477;1700000
Pakistan;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;286255;320214;447541;329100;384893;408604;197074;328915;432156;501664;677206
Perou;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6348000;5435000;7432000;8623000;8221983;6680659;7192592;7320807;7663124;8806452;9533871
Philippines;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;292608;216176;826745;153775;107119;17088;0;0
Russie;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99900000;92000000;95500000;104000000;104000000;102100000;102100000;101000000;101000000;95000000;95900000
Sierra Leone;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;339330;5203490;11894580;17497553;5247688;6576576;6531460;968585
Slovaquie;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;392000;;;;;;;;;;
Afrique du sud;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48982537;55313053;58709330;58056897;67100474;71543088;80759334;73220891;66455868;74643475;74263738
Espagne;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soudan;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1700;48163;96400;339390;500000;0;0;0;0
Suède;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28947000;20646000;28797000;30840000;32198000;37411000;35759000;29861000;31843000;31763000;35774000
Thailand;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1709750;616399;976937;489359;303233;389620;347918;16483;0;135;0
Tunisie;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210509;150415;171566;168423;215382;244643;331869;284600;285000;285000;285000
Turquie;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3990110;4169972;5378455;6450480;4969901;8589362;11887154;7760957;7137233;9992455;10000000
États-Unis;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53600000;26700000;49500000;54700000;54000000;52800000;56100000;46100000;41800000;47900000;49300000
Ouganda;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1740;972;3795;2134;4431;2283;41959;9000;2163;2320;0
Ukraine;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72688000;66452000;78541000;80900000;67149000;70389000;68337000;66902000;62876000;60574000;60549000
Royaume-Uni;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;;;;;;;;;;
Venezuela;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19332299;14206621;14330761;16347621;15403095;11198077;11258577;11715475;7306000;4601000;2800000
Vietnam;Production;Fer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1371600;1904500;1972100;2371300;1506200;2495300;2719000;2691000;3056000;5074000;5471000
Argentine;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17691;17570;17822;14017;14369;13305;15434;19159;30335;30400;33473
Australie;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;239528;197482;326865;401536;500899;405119;444546;445990;440525;1706619;2112667
Bolivie;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;162;60;230
Brézil;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14460;15929;15733;7820;7084;7982;8519;5781;8804;9000;9000
Canada;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1100;140000
Canada;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22000;10000;0;0;0;0;108;0;0;0;0
Chili;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56881;30538;52851;69597;71594;60646;62253;56375;78182;81378;97323
Chine;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46000;53000;55000;2120;1900;2100;1900;2300;3800;6800;7100
Namibie;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;30000
Nigeria;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1567
Portugal;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34888;37359;40109;37534;20698;19940;17459;19275;40758;65743;76818
Espagne;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9342;4270;7824;;;;;;;;
États-Unis;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;1500;1000;1000;1000;870;900;900;900;900;900
Zimbabwe;Production;Lithium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50000;42000;44000;47000;44000;44000;44000;48000;51000;70000
Brézil;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;5000;5000;5000;16000;16000;16000;18000;15000;15000;15000
Chine;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;630700;525600;650800;674900;698200;770407;873649;859258;910300;1021957;863000
Inde;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;200;200;200;200;;;;;;
Israel;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32051;19405;23309;26284;27292;27399;26000;29708;22548;23000;21100
Kazakhstan;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21000;21000;21000;21400;;;;;;;
Corée du Sud;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2500;7500;3000;3000;3000;3000;110
Malaisie;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;100;600;0;650;2950;1600;400;30;0
Oman;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;
Russie;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16581;12120;15461;13517;13798;13970;13744;12460;14346;15593;15753
États-Unis;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40000;40000;40000;40000;40000;40000;40000;40000;40000;30000;30000
Ukraine;Production;Magnésium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;2000;2000;2000;;;;;;;
Australie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4819000;4445000;6474000;6960769;7178975;7425985;7587207;6281497;5327566;6172266;7210992
Brézil;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2400000;2320000;3125000;2738000;2796000;2833000;2723000;2816675;2880718;3273029;3200000
Bulgarie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39100;28300;106000;85600;39100;103600;93700;46500;41700;2000;0
Burkina Faso;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;57355;49715;0;0;0;1600;0;0;0
Myanmar;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356000;607000;754000;586000;286000;394000;242000;70000;293000;310000;310000
Chili;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5096;1642;;;;;;;;;
Chine;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11000000;12000000;13000000;20000000;20000000;17500000;15500000;13000000;15528000;8500000;9000000
Égypte;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16912;12500;37194;62388;40000;31325;22299;0;0;0;0
Gabon;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3250000;1992060;3200570;3831215;3363170;4091399;4081000;4184000;3413000;4163000;4330000
Géorgie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;370000;370000;370000;370000;370000;370000;370000;370000;370000;370000;370000
Ghana;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1089025;1012941;1194074;1827692;1490634;1997911;1531394;1562769;2018254;3003580;4551754
Hongrie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49579;43000;55000;58000;51000;35000;51000;57000;19000;0;0
Inde;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2789025;2491950;3056385;2411871;2342169;2626291;2369481;2166947;2395134;2589271;2759000
Indonésie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iran;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115199;125506;131561;194428;172560;163367;139736;86523;78955;100780;100000
Côte d'Ivoire;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148120;100000;87400;43600;120486;271562;308401;294904;294904;515624;791911
Kazakhstan;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2485000;2457400;3045000;2963000;2975000;2852100;2608800;1625700;1600700;1460000;1427300
Kenya;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;9125;9000
Malaisie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;536675;567963;899703;597917;1099585;1125127;835429;480727;700717;1226106;1262725
Mali;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexique;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;477147;330328;466649;437264;510942;580309;652465;592728;549589;561612;556220
Maroc;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102285;51788;75614;58000;90200;111000;91271;71700;70138;99008;100000
Namibie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28237;51471;35728;41876;188862;133474;104527;38360;16896;27915;23045
Oman;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41300;37500;49000;37500;7400;21300;33900;36100
Roumanie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43590;20304;13120;3180;8993;21300;12662;40262;4477;4500;4500
Russie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2600;8200;;;;;;
Afrique du sud;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9327;10911;15407;15979;11943;22000;27000;32000;27500;28300;29800
Afrique du sud;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6798187;4564855;7156338;8635863;8931472;10930000;13830000;15947000;13708000;13861000;14888400
Soudan;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;500;0;0;0;3250;20000;31400;9800;9500;9500
Thailand;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111000;64930;50450;398;8151;14320;14330;9000;2750;8020;4000
Turquie;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141246;134336;172480;192756;321785;245830;142809;46867;77895;80000
Ukraine;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1447000;932000;1589000;1391228;1234007;1524696;1526218;1477200;1328271;1758172;1845156
Vietnam;Production;Manganèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82700;64600;15800;9700;10000;20700;13400;50000;68800
Argentine;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;228;1148;468;1708;4850;3829;1907;1730;957;1301;1000
Armenie;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4472;4365;4377;4822;5446;5934;6022;5324;5438;5886;5666
Brézil;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;760;262;337;263;185;200;200;200;200;200;200
Canada;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8602;8721;8648;8674;8954;8952;8681;1983;2883;4941;5131
Chili;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33639;34786;37044;40698;34793;38433;48898;52398;55834;62454;60248
Chine;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81000;90270;96615;103320;120870;122265;128538;135270;129357;117104;99390
Iran;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3628;3882;3676;3365;3512;3470;4000;6705;6975;7767;8000
Kazakhstan;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;;;;;;;;;;
Mexique;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7812;10167;10849;10787;11366;12562;14370;11327;11896;13985;20265
Mongolie;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1900;2410;2198;1957;1904;1819;1999;2557;2431;2639;2571
Norvège;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;8;2;1;2;2;2
Perou;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16721;12297;16963;19141;16790;18140;17018;20153;25757;28141;28034
Pologne;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1310;1330;1360;1320;1220;1190
Russie;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4061;4561;4495;4842;4838;3605;3114;3254;3359;3227;2400
Turquie;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;0;1;0;3;0;0;0
États-Unis;Production;Molybdène;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55900;47800;59400;63700;61500;61000;68200;47400;36200;40700;42000
Albanie;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3500;550;1954;3637;750;2151;5091;6280;3952;5323;4204
Australie;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199190;165783;168475;215014;304152;292619;266181;225227;203135;185466;148468
Botswana;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28940;29616;24931;15675;17948;22848;14958;16789;14273;0;0
Brézil;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67116;36200;54100;74600;89600;77400;85600;89300;78626;68803;74400
Myanmar;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;9450;19706;22913;22562;21828;18100
Canada;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259651;135037;160063;219025;211701;227743;228867;234519;235034;214302;180399
Chine;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79500;84800;79800;89800;93300;93151;101067;101403;100219;94381;98963
Colombie;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41638;51802;49433;37800;51595;49320;41221;36671;37091;40606;43055
Cuba;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67300;65000;65400;68600;64600;55600;51600;53800;51600;52900;52800
République dominicaine;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18782;0;0;13528;15186;9355;0;0;9913;15632;19214
Finlande;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2400;735;12100;18244;19073;18560;19281;9383;20654;34641;43572
Grèce;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18600;9600;16100;21700;20600;19800;20600;20800;21800;19100;17900
Guatemala;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2440;9120;37222;46298;36939;54517;65710
Indonésie;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;223000;192900;305200;552400;1013000;1340000;188000;113950;126160;216992;508580
Côte d'Ivoire;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;600;6900
Kazakhstan;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1600;;;;;;;;;;
Kosovo;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3655;10565;9100;7728;4436;7607;6724;7418;4265;7120;4791
Madagascar;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;5695;25148;37053;47271;42105;35474;33183
Maroc;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;733;317;217;288;160;0;0;0;196;200
Nouvelle-Calédonie;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105883;95649;131309;128732;131693;164406;175174;193199;204207;215382;216225
Macédoine du Nord;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15000;12000;1800;3600;1700;;;;;;
Norvège;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;377;336;348;339;351;296;290;300;300;200;300
Papouasie-Nouvelle-Guinée;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;5283;11369;20987;25582;22269;34666;35355
Philippines;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80645;137350;184330;319354;317621;315633;393262;418292;300506;339377;344915
Pologne;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;570;850;840;570;780;840;770;720;700
Russie;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;266800;261900;270000;270000;268700;264000;264000;261000;223000;221000;218000
Afrique du sud;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31700;34610;39960;43321;45945;51208;54956;56689;48994;48383;43236
Espagne;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8136;8029;6296;0;2398;7574;8631;7213;0;0;0
Turquie;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;1199;2539;848;3805;1076;3034;8637;9337;14770;18000
États-Unis;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;4093;27167;23417;21302;17573
Ukraine;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000;;;;;;;;;;
Venezuela;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10886;10400;12063;13400;8100;0;2500;2581;0;0;0
Vietnam;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1166;6854;8607;4272;0;0
Zambie;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800;1500;2809;2869;;;;;;;
Zimbabwe;Production;Nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6354;4858;6133;7992;7899;12962;16633;16109;17743;16617;17850
Algerie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1805000;1017000;1525234;1281100;1250300;1150000;1417950;1288900;1274000;1112000;1204100
Australie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2156848;1962893;2135801;2388038;884643;2064291;628647;1027622;1037265;942373;850987
Brézil;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6730000;6084000;6192000;6738000;6740000;6715000;6513000;6700000;6500000;5345000;5098000
Burkina Faso;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2400;;2400;2400;2688;1414;1832;1000;1000;1000;1000
Canada;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;983000;901388;826858;851308;516000;316000;;;;;
Chili;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2892;1649;845;1625;1266;2915;2717;3408;4601;4238;4154
Chili;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38294;11643;49683;14304;14335;12041;20142;16141;1604;0;0
Chine;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50740600;60208900;68070000;81223000;95296000;108510000;120438000;142039000;144398000;123132000;96326000
Île Christmas;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700000;563000;566645;616000;653000;672000;575000;671000;770000;644000;643000
Colombie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48000;48000;50000;50000;54000;65759;41692;95483;84125;55410;49042
Cuba;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7200;2400;6200;6000;1700;3000;1300;0;0;0;0
Égypte;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2356523;3021335;1392990;2456562;6168000;4500501;4830918;3427000;2556000;2500000;2500000
Finlande;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;780000;658347;817289;869694;858005;877189;946234;956564;939531;978613;989073
Inde;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1803954;1605489;2097490;2259726;1941158;1453580;1608145;1571973;1124440;1534269;1250000
Iran;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42097;61231;62000;98081;33333;119961;75092;85066;64805;52600;60000
Irak;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;45000;55000;52720;100000;140000;140000;140000;140000;140000;140000
Israel;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3088000;2697000;2777200;3021955;2488496;2539166;2778715;3427469;3591200;2637440;3028800
Jordanie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6266000;5280693;6528708;7594000;6383000;5398600;7143713;8335993;7991157;8687581;8022393
Kazakhstan;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2470600;1204700;1755000;1716200;1868200;1831800;1830000;1830000;1830000;1830000;1830000
Corée du Nord;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300000;100000;100000;300000;0;;;;;;
Laos;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000000;0;0;181000;435000;0
Laos;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1325;;;;;
Malawi;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;12403;11783;11194;12400;2500;1000;1594
Mali;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1600;18000;7500;7500;15000;31000;37236;41000;46000
Mexique;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;969094;1421823;1507402;1690606;1724662;2217481;1733479;1929439;3294266;2307180;829835
Maroc;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24861000;18307000;26603000;28052000;27060000;26400000;27390000;26264000;26900000;32800000;37600000
Nauru;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;497469;146816;407654;436563;521491;347184;153418;94021;114350;126000;100000
Pakistan;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6580;17625;47385;30950;69400;104961;101971;109874;115140;61677;60000
Perou;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1134086;8889295;10345925;14842307;10884269;11161636;10561111;8450379;10308276
Philippines;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;254;251;272;310;331;443;409;495;670;700;1500
Philippines;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2271;2257;2308;2778;2952;3478;3897;5437;8019;159;1236
Russie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9810200;9537800;10300000;9800000;10017000;10500000;10700000;11500000;12300000;13200000;13600000
Arabie saoudite;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1534000;1820000;1911000;2002000;5400000;5800000;6090000
Senegal;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;645000;948600;976200;1411000;1380900;882400;806200;1062000;1609000;1385000;1782000
Afrique du sud;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2286794;2237128;2493904;2564820;2242213;2131854;2011151;1852348;1696533;2079294;2058274
Sri Lanka;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41947;36347;47778;58525;47559;49106;62595;52518;38848;42435;40000
Syrie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3221379;2466150;3764900;3541900;1780300;897600;1230000;750000;0;100000;100000
Tanzanie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28684;18000;17180;10125;19984;23020;23000;23000;23658;1351;0
Thailand;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3675;658;35783;3300;1990;350;500;500;500;8000;0
Togo;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;842508;725547;695123;865616;1100000;1213657;1085546;1150194;850076;732503;930857
Tunisie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7691700;7409000;8148536;2479364;2762269;3283522;3783969;3228311;3663613;4422100;2802000
Turquie;Production;Phosphore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;510080;604000;713230;772500;0;0
